invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,,invoice_date,
I100008,C199951,Male,65,Clothing,5,1500.4,Cash,10/7/2022,Emaar Square Mall,,10/7/2022,Order Date = Invoice data
I100014,C138893,Male,55,Cosmetics,5,203.3,Cash,18-06-2021,Viaport Outlet,,18-06-2021,order id = invoice no.
I100015,C132779,Female,35,Clothing,2,600.16,Debit Card,4/3/2021,Mall of Istanbul,,4/3/2021,
I100024,C244411,Female,67,Books,3,45.45,Credit Card,5/1/2023,Emaar Square Mall,,5/1/2023,
I100027,C150002,Female,19,Technology,4,4200,Cash,18-05-2022,Mall of Istanbul,,18-05-2022,
I100028,C325553,Female,18,Clothing,1,300.08,Credit Card,19-06-2021,Metrocity,,19-06-2021,
I100031,C378408,Male,18,Food & Beverage,3,15.69,Credit Card,23-06-2022,Emaar Square Mall,,23-06-2022,
I100033,C278721,Male,56,Food & Beverage,4,20.92,Credit Card,19-10-2021,Zorlu Center,,19-10-2021,
I100037,C122873,Female,63,Clothing,1,300.08,Debit Card,6/6/2021,Kanyon,,6/6/2021,
I100041,C326923,Female,50,Cosmetics,3,121.98,Cash,24-07-2022,Mall of Istanbul,,24-07-2022,
I100049,C297871,Male,39,Shoes,1,600.17,Debit Card,26-12-2021,Mall of Istanbul,,26-12-2021,
I100053,C217294,Female,21,Cosmetics,3,121.98,Credit Card,2/1/2023,Metrocity,,2/1/2023,
I100057,C225062,Female,25,Clothing,2,600.16,Credit Card,13-10-2021,Forum Istanbul,,13-10-2021,
I100059,C292544,Female,52,Souvenir,3,35.19,Debit Card,14-06-2021,Metrocity,,14-06-2021,
I100068,C647308,Female,52,Toys,2,71.68,Credit Card,13-08-2021,Metropol AVM,,13-08-2021,
I100071,C522050,Female,30,Clothing,3,900.24,Cash,16-10-2021,Mall of Istanbul,,16-10-2021,
I100072,C143773,Male,64,Technology,5,5250,Debit Card,10/8/2021,Metropol AVM,,10/8/2021,
I100077,C356550,Male,46,Food & Beverage,1,5.23,Credit Card,3/2/2021,Emaar Square Mall,,3/2/2021,
I100078,C272831,Male,46,Books,5,75.75,Credit Card,10/7/2021,Mall of Istanbul,,10/7/2021,
I100080,C696236,Male,55,Toys,4,143.36,Credit Card,26-04-2022,Metropol AVM,,26-04-2022,
I100082,C357288,Female,44,Souvenir,2,23.46,Cash,31-12-2021,Cevahir AVM,,31-12-2021,
I100084,C226369,Female,68,Shoes,2,1200.34,Credit Card,9/10/2022,Kanyon,,9/10/2022,
I100089,C123196,Female,63,Clothing,5,1500.4,Cash,27-03-2022,Emaar Square Mall,,27-03-2022,
I100090,C801451,Female,27,Shoes,4,2400.68,Credit Card,17-04-2021,Metrocity,,17-04-2021,
I100094,C246470,Female,68,Toys,2,71.68,Cash,18-12-2021,Metropol AVM,,18-12-2021,
I100095,C608046,Male,60,Clothing,2,600.16,Cash,23-11-2021,Istinye Park,,23-11-2021,
I100097,C673123,Female,63,Food & Beverage,4,20.92,Credit Card,24-08-2022,Mall of Istanbul,,24-08-2022,
I100098,C228071,Male,49,Clothing,5,1500.4,Cash,16-11-2021,Cevahir AVM,,16-11-2021,
I100105,C246820,Male,39,Food & Beverage,4,20.92,Debit Card,15-04-2022,Kanyon,,15-04-2022,
I100106,C850385,Male,36,Food & Beverage,2,10.46,Credit Card,12/9/2021,Metropol AVM,,12/9/2021,
I100108,C331773,Female,45,Books,4,60.6,Credit Card,6/8/2021,Cevahir AVM,,6/8/2021,
I100111,C314731,Female,46,Clothing,3,900.24,Debit Card,13-09-2022,Metrocity,,13-09-2022,
I100113,C136435,Male,48,Clothing,1,300.08,Credit Card,31-01-2021,Zorlu Center,,31-01-2021,
I100116,C235320,Female,60,Cosmetics,3,121.98,Cash,18-11-2022,Metropol AVM,,18-11-2022,
I100126,C103405,Male,31,Clothing,3,900.24,Credit Card,26-03-2022,Emaar Square Mall,,26-03-2022,
I100127,C708853,Male,38,Clothing,2,600.16,Debit Card,16-11-2021,Cevahir AVM,,16-11-2021,
I100128,C168282,Female,23,Clothing,3,900.24,Credit Card,16-07-2022,Istinye Park,,16-07-2022,
I100137,C233463,Male,35,Shoes,5,3000.85,Cash,16-05-2021,Mall of Istanbul,,16-05-2021,
I100138,C237364,Male,52,Clothing,2,600.16,Cash,19-06-2021,Mall of Istanbul,,19-06-2021,
I100142,C161659,Male,37,Clothing,4,1200.32,Debit Card,28-08-2021,Metropol AVM,,28-08-2021,
I100145,C153189,Female,20,Clothing,5,1500.4,Debit Card,10/12/2022,Kanyon,,10/12/2022,
I100146,C320745,Female,24,Shoes,4,2400.68,Credit Card,25-04-2022,Emaar Square Mall,,25-04-2022,
I100148,C200488,Male,52,Shoes,4,2400.68,Cash,16-04-2022,Zorlu Center,,16-04-2022,
I100149,C193896,Female,65,Food & Beverage,5,26.15,Cash,17-11-2021,Mall of Istanbul,,17-11-2021,
I100151,C315218,Male,69,Clothing,2,600.16,Cash,23-07-2021,Kanyon,,23-07-2021,
I100152,C265676,Female,43,Shoes,5,3000.85,Credit Card,25-02-2021,Mall of Istanbul,,25-02-2021,
I100155,C312476,Female,30,Food & Beverage,4,20.92,Credit Card,29-06-2021,Metropol AVM,,29-06-2021,
I100156,C462935,Female,69,Books,3,45.45,Credit Card,25-01-2021,Metropol AVM,,25-01-2021,
I100161,C262871,Female,30,Clothing,1,300.08,Cash,11/4/2021,Kanyon,,11/4/2021,
I100168,C135319,Male,43,Shoes,4,2400.68,Cash,15-11-2021,Zorlu Center,,15-11-2021,
I100173,C190374,Female,69,Food & Beverage,1,5.23,Cash,18-05-2021,Metropol AVM,,18-05-2021,
I100174,C286570,Female,36,Clothing,1,300.08,Cash,7/12/2021,Mall of Istanbul,,7/12/2021,
I100181,C123341,Female,33,Clothing,5,1500.4,Cash,18-04-2022,Metrocity,,18-04-2022,
I100184,C131276,Female,32,Cosmetics,2,81.32,Cash,18-09-2022,Kanyon,,18-09-2022,
I100186,C222236,Male,62,Clothing,1,300.08,Debit Card,30-01-2023,Zorlu Center,,30-01-2023,
I100187,C178869,Female,41,Food & Beverage,1,5.23,Credit Card,28-07-2021,Metrocity,,28-07-2021,
I100192,C161234,Male,57,Clothing,1,300.08,Debit Card,17-11-2021,Mall of Istanbul,,17-11-2021,
I100193,C149918,Male,34,Clothing,1,300.08,Debit Card,26-02-2022,Istinye Park,,26-02-2022,
I100195,C322199,Female,34,Food & Beverage,5,26.15,Debit Card,20-12-2022,Mall of Istanbul,,20-12-2022,
I100198,C136883,Female,58,Cosmetics,5,203.3,Credit Card,18-07-2021,Cevahir AVM,,18-07-2021,
I100199,C275614,Female,31,Books,5,75.75,Cash,25-02-2022,Istinye Park,,25-02-2022,
I100200,C948033,Male,24,Toys,4,143.36,Cash,28-07-2021,Metrocity,,28-07-2021,
I100201,C982027,Male,57,Souvenir,5,58.65,Cash,20-03-2021,Istinye Park,,20-03-2021,
I100202,C182496,Male,45,Food & Beverage,4,20.92,Credit Card,20-11-2022,Kanyon,,20-11-2022,
I100205,C220151,Male,32,Clothing,5,1500.4,Credit Card,26-06-2021,Istinye Park,,26-06-2021,
I100207,C452901,Male,22,Clothing,4,1200.32,Credit Card,19-04-2021,Metrocity,,19-04-2021,
I100211,C239527,Female,59,Clothing,2,600.16,Debit Card,10/2/2021,Metrocity,,10/2/2021,
I100212,C282695,Female,60,Souvenir,3,35.19,Credit Card,31-08-2021,Kanyon,,31-08-2021,
I100214,C989972,Female,42,Clothing,3,900.24,Cash,6/3/2022,Istinye Park,,6/3/2022,
I100215,C198589,Male,27,Shoes,3,1800.51,Debit Card,12/4/2021,Mall of Istanbul,,12/4/2021,
I100216,C145243,Male,27,Cosmetics,1,40.66,Cash,9/3/2022,Mall of Istanbul,,9/3/2022,
I100218,C205490,Male,37,Food & Beverage,1,5.23,Cash,15-10-2022,Kanyon,,15-10-2022,
I100220,C122251,Male,25,Clothing,5,1500.4,Cash,26-05-2021,Mall of Istanbul,,26-05-2021,
I100223,C212702,Female,45,Shoes,5,3000.85,Credit Card,21-11-2022,Metrocity,,21-11-2022,
I100225,C128382,Male,44,Cosmetics,3,121.98,Credit Card,12/10/2022,Istinye Park,,12/10/2022,
I100227,C364271,Female,67,Toys,3,107.52,Cash,13-05-2022,Metrocity,,13-05-2022,
I100228,C248381,Male,42,Clothing,2,600.16,Cash,21-02-2023,Mall of Istanbul,,21-02-2023,
I100229,C397160,Male,27,Cosmetics,4,162.64,Debit Card,28-02-2023,Mall of Istanbul,,28-02-2023,
I100231,C274640,Female,67,Technology,1,1050,Debit Card,19-07-2021,Metropol AVM,,19-07-2021,
I100240,C240922,Female,22,Cosmetics,3,121.98,Credit Card,20-10-2022,Cevahir AVM,,20-10-2022,
I100243,C332855,Female,42,Clothing,1,300.08,Cash,12/1/2023,Kanyon,,12/1/2023,
I100249,C209647,Male,40,Clothing,5,1500.4,Credit Card,19-12-2022,Kanyon,,19-12-2022,
I100251,C228482,Female,36,Souvenir,4,46.92,Cash,29-05-2022,Metropol AVM,,29-05-2022,
I100261,C315632,Female,41,Cosmetics,2,81.32,Credit Card,3/3/2023,Mall of Istanbul,,3/3/2023,
I100267,C299948,Female,57,Cosmetics,4,162.64,Debit Card,11/12/2022,Kanyon,,11/12/2022,
I100271,C892772,Male,37,Toys,4,143.36,Debit Card,13-02-2021,Metrocity,,13-02-2021,
I100273,C291963,Female,67,Toys,5,179.2,Cash,10/5/2021,Cevahir AVM,,10/5/2021,
I100281,C711548,Male,39,Toys,1,35.84,Debit Card,28-06-2021,Kanyon,,28-06-2021,
I100282,C836957,Male,45,Clothing,3,900.24,Cash,30-07-2022,Viaport Outlet,,30-07-2022,
I100284,C174674,Female,66,Clothing,2,600.16,Credit Card,13-08-2022,Kanyon,,13-08-2022,
I100288,C435081,Female,33,Food & Beverage,3,15.69,Credit Card,13-02-2022,Kanyon,,13-02-2022,
I100290,C118172,Male,45,Cosmetics,3,121.98,Credit Card,24-12-2021,Mall of Istanbul,,24-12-2021,
I100291,C832260,Male,18,Clothing,5,1500.4,Debit Card,3/8/2021,Istinye Park,,3/8/2021,
I100292,C721616,Female,21,Clothing,2,600.16,Cash,16-08-2022,Mall of Istanbul,,16-08-2022,
I100293,C991830,Female,28,Food & Beverage,3,15.69,Cash,28-11-2022,Kanyon,,28-11-2022,
I100294,C277127,Male,52,Food & Beverage,3,15.69,Cash,12/12/2022,Istinye Park,,12/12/2022,
I100299,C179079,Male,19,Clothing,5,1500.4,Cash,30-09-2022,Mall of Istanbul,,30-09-2022,
I100301,C553904,Female,20,Clothing,4,1200.32,Credit Card,20-08-2021,Mall of Istanbul,,20-08-2021,
I100307,C887007,Female,58,Clothing,3,900.24,Credit Card,24-01-2022,Kanyon,,24-01-2022,
I100308,C104593,Male,18,Food & Beverage,1,5.23,Cash,11/7/2022,Mall of Istanbul,,11/7/2022,
I100310,C183161,Female,46,Cosmetics,4,162.64,Cash,22-04-2022,Mall of Istanbul,,22-04-2022,
I100311,C115462,Female,55,Clothing,4,1200.32,Cash,20-04-2022,Zorlu Center,,20-04-2022,
I100312,C280934,Male,34,Food & Beverage,2,10.46,Credit Card,29-10-2022,Emaar Square Mall,,29-10-2022,
I100313,C144410,Female,64,Cosmetics,4,162.64,Cash,17-11-2022,Metrocity,,17-11-2022,
I100315,C242277,Female,30,Cosmetics,3,121.98,Debit Card,4/8/2021,Emaar Square Mall,,4/8/2021,
I100316,C248553,Male,40,Shoes,2,1200.34,Cash,13-12-2022,Cevahir AVM,,13-12-2022,
I100320,C152872,Female,21,Clothing,2,600.16,Cash,10/10/2022,Emaar Square Mall,,10/10/2022,
I100321,C113910,Female,59,Toys,2,71.68,Credit Card,23-05-2022,Forum Istanbul,,23-05-2022,
I100323,C107529,Male,66,Cosmetics,3,121.98,Debit Card,19-05-2022,Kanyon,,19-05-2022,
I100324,C288166,Female,61,Clothing,5,1500.4,Debit Card,30-12-2022,Metropol AVM,,30-12-2022,
I100328,C152052,Female,69,Food & Beverage,3,15.69,Credit Card,22-04-2022,Kanyon,,22-04-2022,
I100330,C453598,Male,26,Cosmetics,5,203.3,Credit Card,15-07-2022,Metrocity,,15-07-2022,
I100336,C202040,Female,39,Food & Beverage,1,5.23,Cash,1/8/2022,Metropol AVM,,1/8/2022,
I100338,C779694,Male,62,Food & Beverage,2,10.46,Cash,29-06-2022,Viaport Outlet,,29-06-2022,
I100354,C135028,Male,22,Technology,1,1050,Credit Card,24-08-2021,Metropol AVM,,24-08-2021,
I100355,C189409,Female,57,Clothing,5,1500.4,Cash,25-10-2022,Kanyon,,25-10-2022,
I100357,C494452,Female,23,Cosmetics,3,121.98,Debit Card,2/5/2021,Forum Istanbul,,2/5/2021,
I100358,C339237,Female,21,Cosmetics,5,203.3,Cash,22-09-2021,Metrocity,,22-09-2021,
I100361,C224357,Female,26,Food & Beverage,5,26.15,Cash,29-06-2021,Viaport Outlet,,29-06-2021,
I100364,C231500,Female,54,Clothing,2,600.16,Debit Card,15-04-2021,Zorlu Center,,15-04-2021,
I100365,C624809,Female,47,Clothing,5,1500.4,Credit Card,19-05-2021,Emaar Square Mall,,19-05-2021,
I100366,C296054,Female,69,Clothing,1,300.08,Debit Card,5/7/2021,Cevahir AVM,,5/7/2021,
I100367,C268495,Male,61,Food & Beverage,5,26.15,Cash,22-11-2021,Kanyon,,22-11-2021,
I100368,C168429,Female,63,Food & Beverage,1,5.23,Credit Card,17-01-2022,Kanyon,,17-01-2022,
I100377,C272529,Female,62,Toys,3,107.52,Debit Card,23-12-2021,Metrocity,,23-12-2021,
I100381,C243648,Female,36,Clothing,2,600.16,Cash,2/12/2022,Forum Istanbul,,2/12/2022,
I100387,C234074,Female,21,Food & Beverage,2,10.46,Cash,16-05-2021,Mall of Istanbul,,16-05-2021,
I100397,C262466,Female,34,Cosmetics,1,40.66,Debit Card,24-09-2021,Forum Istanbul,,24-09-2021,
I100399,C250107,Female,46,Food & Beverage,5,26.15,Cash,1/2/2022,Mall of Istanbul,,1/2/2022,
I100400,C271625,Female,62,Shoes,4,2400.68,Credit Card,16-01-2021,Metrocity,,16-01-2021,
I100401,C291610,Female,34,Shoes,3,1800.51,Credit Card,6/3/2023,Cevahir AVM,,6/3/2023,
I100404,C116794,Female,64,Cosmetics,1,40.66,Credit Card,3/11/2021,Mall of Istanbul,,3/11/2021,
I100406,C146640,Male,62,Cosmetics,3,121.98,Credit Card,16-06-2021,Kanyon,,16-06-2021,
I100408,C128638,Female,37,Toys,3,107.52,Cash,9/8/2021,Kanyon,,9/8/2021,
I100412,C313809,Female,35,Food & Beverage,2,10.46,Credit Card,18-09-2022,Metrocity,,18-09-2022,
I100414,C233655,Male,56,Souvenir,2,23.46,Debit Card,10/1/2023,Mall of Istanbul,,10/1/2023,
I100417,C310007,Female,46,Clothing,3,900.24,Cash,17-07-2022,Mall of Istanbul,,17-07-2022,
I100419,C937473,Male,53,Souvenir,2,23.46,Credit Card,21-04-2022,Mall of Istanbul,,21-04-2022,
I100420,C261035,Female,69,Cosmetics,3,121.98,Credit Card,6/7/2021,Viaport Outlet,,6/7/2021,
I100423,C664680,Female,33,Food & Beverage,4,20.92,Debit Card,22-04-2021,Metrocity,,22-04-2021,
I100425,C386315,Female,52,Cosmetics,1,40.66,Cash,29-08-2021,Metropol AVM,,29-08-2021,
I100426,C133701,Female,47,Cosmetics,3,121.98,Cash,24-12-2022,Istinye Park,,24-12-2022,
I100434,C295965,Male,61,Cosmetics,4,162.64,Cash,14-07-2021,Mall of Istanbul,,14-07-2021,
I100439,C224698,Male,26,Shoes,5,3000.85,Credit Card,2/3/2023,Metropol AVM,,2/3/2023,
I100441,C202089,Female,43,Cosmetics,3,121.98,Cash,9/9/2022,Istinye Park,,9/9/2022,
I100443,C826051,Female,30,Souvenir,4,46.92,Debit Card,16-04-2021,Istinye Park,,16-04-2021,
I100445,C307576,Female,18,Clothing,1,300.08,Debit Card,2/11/2021,Istinye Park,,2/11/2021,
I100454,C851133,Female,40,Toys,3,107.52,Debit Card,24-02-2023,Istinye Park,,24-02-2023,
I100455,C191387,Female,56,Souvenir,5,58.65,Cash,4/9/2022,Metropol AVM,,4/9/2022,
I100458,C150447,Female,19,Toys,2,71.68,Credit Card,12/4/2022,Metrocity,,12/4/2022,
I100459,C194835,Female,37,Clothing,3,900.24,Debit Card,18-09-2021,Metrocity,,18-09-2021,
I100462,C363980,Female,46,Souvenir,5,58.65,Cash,4/1/2021,Metropol AVM,,4/1/2021,
I100464,C129826,Male,44,Clothing,2,600.16,Debit Card,1/5/2021,Mall of Istanbul,,1/5/2021,
I100465,C211946,Female,57,Clothing,1,300.08,Cash,14-01-2022,Mall of Istanbul,,14-01-2022,
I100466,C235798,Male,30,Clothing,4,1200.32,Debit Card,30-09-2021,Forum Istanbul,,30-09-2021,
I100470,C219411,Female,32,Shoes,1,600.17,Credit Card,8/11/2021,Istinye Park,,8/11/2021,
I100472,C176862,Male,43,Cosmetics,1,40.66,Cash,1/9/2021,Mall of Istanbul,,1/9/2021,
I100473,C607315,Female,51,Books,5,75.75,Debit Card,1/1/2021,Mall of Istanbul,,1/1/2021,
I100484,C135857,Male,50,Clothing,1,300.08,Debit Card,26-01-2021,Mall of Istanbul,,26-01-2021,
I100487,C213360,Female,22,Cosmetics,4,162.64,Cash,19-02-2021,Kanyon,,19-02-2021,
I100491,C212593,Male,57,Shoes,4,2400.68,Credit Card,29-03-2021,Kanyon,,29-03-2021,
I100494,C227575,Male,56,Toys,3,107.52,Debit Card,19-12-2021,Metrocity,,19-12-2021,
I100496,C174558,Female,51,Clothing,2,600.16,Cash,26-11-2021,Metrocity,,26-11-2021,
I100498,C498727,Female,63,Technology,5,5250,Cash,3/2/2023,Cevahir AVM,,3/2/2023,
I100499,C114407,Male,45,Clothing,5,1500.4,Cash,9/5/2021,Cevahir AVM,,9/5/2021,
I100501,C338282,Female,18,Technology,1,1050,Debit Card,31-08-2021,Metrocity,,31-08-2021,
I100502,C238358,Male,28,Toys,1,35.84,Credit Card,10/10/2021,Mall of Istanbul,,10/10/2021,
I100504,C703075,Female,59,Shoes,2,1200.34,Cash,31-03-2021,Mall of Istanbul,,31-03-2021,
I100508,C249896,Female,20,Clothing,3,900.24,Debit Card,24-03-2021,Viaport Outlet,,24-03-2021,
I100512,C208841,Male,36,Food & Beverage,3,15.69,Debit Card,13-04-2022,Kanyon,,13-04-2022,
I100519,C233898,Male,49,Clothing,4,1200.32,Credit Card,25-01-2021,Kanyon,,25-01-2021,
I100522,C100218,Male,26,Clothing,5,1500.4,Cash,6/11/2021,Kanyon,,6/11/2021,
I100526,C356129,Male,35,Cosmetics,3,121.98,Debit Card,17-08-2022,Mall of Istanbul,,17-08-2022,
I100527,C274542,Male,54,Clothing,1,300.08,Cash,26-06-2022,Metrocity,,26-06-2022,
I100537,C392460,Female,62,Souvenir,3,35.19,Debit Card,5/4/2022,Kanyon,,5/4/2022,
I100538,C312561,Female,65,Clothing,3,900.24,Cash,19-01-2022,Istinye Park,,19-01-2022,
I100540,C641482,Female,35,Clothing,2,600.16,Credit Card,14-06-2022,Metrocity,,14-06-2022,
I100541,C155234,Female,65,Souvenir,2,23.46,Cash,10/5/2021,Istinye Park,,10/5/2021,
I100542,C273404,Male,23,Souvenir,3,35.19,Credit Card,5/6/2021,Istinye Park,,5/6/2021,
I100543,C193964,Female,52,Food & Beverage,2,10.46,Cash,5/3/2022,Mall of Istanbul,,5/3/2022,
I100547,C173500,Male,49,Food & Beverage,1,5.23,Credit Card,7/8/2021,Mall of Istanbul,,7/8/2021,
I100550,C123577,Female,38,Souvenir,5,58.65,Cash,22-11-2022,Cevahir AVM,,22-11-2022,
I100552,C213606,Female,30,Food & Beverage,3,15.69,Credit Card,9/11/2021,Metropol AVM,,9/11/2021,
I100555,C701082,Female,44,Clothing,3,900.24,Cash,10/9/2022,Kanyon,,10/9/2022,
I100558,C209906,Male,27,Cosmetics,3,121.98,Credit Card,25-05-2021,Istinye Park,,25-05-2021,
I100561,C255643,Female,26,Clothing,4,1200.32,Debit Card,29-08-2021,Cevahir AVM,,29-08-2021,
I100565,C833577,Male,42,Clothing,5,1500.4,Cash,17-09-2022,Metropol AVM,,17-09-2022,
I100566,C266257,Male,21,Clothing,2,600.16,Cash,10/10/2022,Metrocity,,10/10/2022,
I100567,C272165,Male,18,Toys,5,179.2,Credit Card,3/1/2021,Mall of Istanbul,,3/1/2021,
I100571,C668914,Male,66,Clothing,1,300.08,Debit Card,7/1/2023,Zorlu Center,,7/1/2023,
I100572,C245347,Female,67,Clothing,1,300.08,Cash,30-07-2021,Istinye Park,,30-07-2021,
I100578,C108143,Female,67,Shoes,4,2400.68,Cash,28-02-2023,Zorlu Center,,28-02-2023,
I100579,C260481,Female,36,Food & Beverage,3,15.69,Credit Card,24-09-2022,Kanyon,,24-09-2022,
I100580,C131158,Female,68,Toys,3,107.52,Cash,14-09-2022,Cevahir AVM,,14-09-2022,
I100582,C638859,Female,66,Clothing,2,600.16,Cash,2/11/2021,Istinye Park,,2/11/2021,
I100586,C580838,Female,62,Clothing,2,600.16,Credit Card,18-03-2022,Istinye Park,,18-03-2022,
