invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,,invoice_date,
I101896,C113243,Male,51,Food & Beverage,2,10.46,Credit Card,27-03-2022,Kanyon,,27-03-2022,
I101901,C241557,Male,53,Food & Beverage,4,20.92,Cash,27-04-2021,Istinye Park,,27-04-2021,
I101902,C195949,Female,64,Clothing,5,1500.4,Credit Card,5/4/2021,Mall of Istanbul,,5/4/2021,
I101904,C106038,Female,23,Souvenir,1,11.73,Credit Card,22-02-2021,Kanyon,,22-02-2021,
I101905,C147666,Female,36,Cosmetics,3,121.98,Cash,24-02-2021,Kanyon,,24-02-2021,
I101906,C306258,Male,65,Shoes,2,1200.34,Credit Card,29-05-2022,Metrocity,,29-05-2022,
I101910,C304301,Male,41,Souvenir,4,46.92,Cash,29-03-2022,Viaport Outlet,,29-03-2022,
I101912,C499795,Female,46,Cosmetics,5,203.3,Debit Card,29-07-2022,Zorlu Center,,29-07-2022,
I101915,C112646,Male,42,Clothing,1,300.08,Credit Card,22-09-2022,Kanyon,,22-09-2022,
I101919,C209103,Male,32,Clothing,4,1200.32,Credit Card,20-10-2021,Metropol AVM,,20-10-2021,
I101920,C208660,Female,37,Food & Beverage,4,20.92,Debit Card,26-10-2021,Cevahir AVM,,26-10-2021,
I101921,C243839,Female,39,Books,3,45.45,Credit Card,16-02-2023,Emaar Square Mall,,16-02-2023,
I101925,C329689,Male,66,Technology,3,3150,Debit Card,3/2/2023,Mall of Istanbul,,3/2/2023,
I101927,C156809,Male,53,Books,2,30.3,Credit Card,15-06-2021,Mall of Istanbul,,15-06-2021,
I101934,C153128,Male,41,Cosmetics,3,121.98,Debit Card,31-12-2021,Emaar Square Mall,,31-12-2021,
I101940,C283119,Female,18,Souvenir,5,58.65,Cash,25-12-2022,Istinye Park,,25-12-2022,
I101953,C316666,Male,52,Technology,3,3150,Cash,16-02-2021,Metrocity,,16-02-2021,
I101967,C218507,Female,26,Food & Beverage,5,26.15,Cash,25-02-2023,Istinye Park,,25-02-2023,
I101968,C134978,Male,56,Clothing,3,900.24,Credit Card,24-01-2023,Metrocity,,24-01-2023,
I101972,C182834,Female,57,Clothing,5,1500.4,Credit Card,3/2/2022,Metrocity,,3/2/2022,
I101974,C184510,Male,57,Toys,5,179.2,Credit Card,11/11/2021,Mall of Istanbul,,11/11/2021,
I101975,C208782,Female,22,Clothing,2,600.16,Cash,7/1/2022,Kanyon,,7/1/2022,
I101978,C188650,Female,42,Clothing,5,1500.4,Debit Card,14-08-2022,Mall of Istanbul,,14-08-2022,
I101979,C109876,Male,25,Clothing,2,600.16,Cash,22-02-2023,Mall of Istanbul,,22-02-2023,
I101982,C116333,Female,40,Technology,5,5250,Cash,1/2/2021,Emaar Square Mall,,1/2/2021,
I101983,C889640,Male,57,Toys,1,35.84,Credit Card,16-09-2021,Zorlu Center,,16-09-2021,
I101984,C117381,Male,45,Clothing,2,600.16,Credit Card,1/10/2022,Metrocity,,1/10/2022,
I101989,C269810,Male,66,Clothing,4,1200.32,Credit Card,28-03-2021,Zorlu Center,,28-03-2021,
I101993,C158626,Female,52,Shoes,1,600.17,Cash,2/10/2021,Zorlu Center,,2/10/2021,
I101996,C157238,Female,32,Cosmetics,3,121.98,Cash,15-06-2021,Kanyon,,15-06-2021,
I102001,C167373,Female,54,Food & Beverage,5,26.15,Debit Card,24-05-2021,Kanyon,,24-05-2021,
I102006,C133645,Female,64,Clothing,2,600.16,Debit Card,7/1/2021,Kanyon,,7/1/2021,
I102008,C171022,Female,47,Clothing,5,1500.4,Debit Card,15-02-2023,Forum Istanbul,,15-02-2023,
I102009,C146739,Female,31,Shoes,1,600.17,Cash,13-11-2021,Forum Istanbul,,13-11-2021,
I102014,C158673,Male,37,Food & Beverage,1,5.23,Cash,26-02-2021,Metropol AVM,,26-02-2021,
I102015,C127328,Female,18,Clothing,3,900.24,Cash,23-01-2022,Viaport Outlet,,23-01-2022,
I102020,C244182,Male,20,Food & Beverage,4,20.92,Debit Card,10/8/2022,Kanyon,,10/8/2022,
I102021,C178086,Female,43,Toys,4,143.36,Cash,7/4/2022,Forum Istanbul,,7/4/2022,
I102024,C132062,Female,19,Souvenir,5,58.65,Credit Card,10/11/2022,Kanyon,,10/11/2022,
I102025,C119370,Male,51,Books,3,45.45,Credit Card,14-09-2022,Forum Istanbul,,14-09-2022,
I102031,C208014,Female,43,Toys,1,35.84,Cash,6/9/2022,Kanyon,,6/9/2022,
I102037,C523688,Female,58,Toys,1,35.84,Cash,21-10-2022,Metrocity,,21-10-2022,
I102038,C227579,Male,58,Food & Beverage,1,5.23,Cash,19-05-2021,Cevahir AVM,,19-05-2021,
I102040,C184203,Male,39,Toys,4,143.36,Cash,20-07-2021,Istinye Park,,20-07-2021,
I102041,C846159,Male,50,Cosmetics,3,121.98,Cash,21-08-2021,Mall of Istanbul,,21-08-2021,
I102042,C539103,Male,42,Cosmetics,3,121.98,Credit Card,1/8/2021,Kanyon,,1/8/2021,
I102045,C105667,Male,40,Food & Beverage,3,15.69,Credit Card,22-05-2021,Metropol AVM,,22-05-2021,
I102047,C203711,Male,65,Toys,3,107.52,Credit Card,1/6/2021,Metropol AVM,,1/6/2021,
I102048,C597678,Male,23,Books,1,15.15,Debit Card,5/8/2021,Mall of Istanbul,,5/8/2021,
I102049,C282234,Female,58,Cosmetics,4,162.64,Cash,17-02-2022,Metropol AVM,,17-02-2022,
I102051,C283917,Male,20,Clothing,2,600.16,Credit Card,26-07-2022,Mall of Istanbul,,26-07-2022,
I102053,C318494,Female,56,Clothing,2,600.16,Cash,13-05-2021,Mall of Istanbul,,13-05-2021,
I102054,C948047,Female,38,Clothing,1,300.08,Credit Card,7/5/2022,Viaport Outlet,,7/5/2022,
I102058,C245703,Female,50,Cosmetics,1,40.66,Debit Card,27-04-2022,Mall of Istanbul,,27-04-2022,
I102059,C297169,Female,45,Souvenir,3,35.19,Cash,13-12-2022,Cevahir AVM,,13-12-2022,
I102061,C181574,Male,36,Shoes,5,3000.85,Credit Card,11/3/2022,Kanyon,,11/3/2022,
I102065,C799164,Female,40,Clothing,2,600.16,Debit Card,23-04-2022,Metropol AVM,,23-04-2022,
I102068,C317485,Female,20,Souvenir,1,11.73,Cash,7/7/2021,Metrocity,,7/7/2021,
I102069,C273829,Female,65,Food & Beverage,2,10.46,Cash,25-01-2022,Viaport Outlet,,25-01-2022,
I102070,C205475,Male,26,Clothing,4,1200.32,Cash,20-04-2021,Forum Istanbul,,20-04-2021,
I102072,C283005,Female,38,Cosmetics,5,203.3,Credit Card,5/10/2022,Kanyon,,5/10/2022,
I102075,C127805,Female,61,Cosmetics,1,40.66,Cash,30-07-2021,Metrocity,,30-07-2021,
I102082,C402987,Female,31,Souvenir,5,58.65,Credit Card,20-06-2022,Metrocity,,20-06-2022,
I102084,C339822,Male,25,Shoes,2,1200.34,Cash,19-02-2022,Metrocity,,19-02-2022,
I102088,C184837,Male,36,Clothing,3,900.24,Cash,8/5/2021,Metropol AVM,,8/5/2021,
I102091,C190233,Female,26,Toys,3,107.52,Debit Card,15-03-2022,Istinye Park,,15-03-2022,
I102092,C172569,Female,21,Shoes,5,3000.85,Cash,16-11-2022,Viaport Outlet,,16-11-2022,
I102100,C252261,Female,69,Souvenir,1,11.73,Debit Card,31-03-2022,Kanyon,,31-03-2022,
I102101,C270792,Female,30,Clothing,5,1500.4,Debit Card,21-07-2022,Kanyon,,21-07-2022,
I102102,C628484,Male,66,Shoes,2,1200.34,Credit Card,11/6/2022,Istinye Park,,11/6/2022,
I102107,C294500,Male,31,Clothing,5,1500.4,Debit Card,6/9/2022,Mall of Istanbul,,6/9/2022,
I102108,C316403,Female,28,Shoes,4,2400.68,Credit Card,25-06-2021,Zorlu Center,,25-06-2021,
I102112,C308314,Male,26,Clothing,3,900.24,Credit Card,25-12-2021,Metrocity,,25-12-2021,
I102115,C629211,Male,50,Clothing,5,1500.4,Debit Card,2/2/2023,Metrocity,,2/2/2023,
I102118,C336690,Female,69,Cosmetics,3,121.98,Cash,10/2/2023,Kanyon,,10/2/2023,
I102119,C299453,Female,37,Clothing,1,300.08,Credit Card,20-05-2022,Forum Istanbul,,20-05-2022,
I102120,C207445,Female,19,Clothing,1,300.08,Debit Card,14-08-2022,Forum Istanbul,,14-08-2022,
I102128,C183134,Male,21,Clothing,4,1200.32,Credit Card,4/8/2022,Metrocity,,4/8/2022,
I102131,C330136,Female,65,Food & Beverage,1,5.23,Debit Card,12/4/2022,Zorlu Center,,12/4/2022,
I102133,C121237,Female,36,Clothing,1,300.08,Credit Card,10/1/2022,Kanyon,,10/1/2022,
I102141,C329384,Male,34,Clothing,1,300.08,Debit Card,28-02-2022,Mall of Istanbul,,28-02-2022,
I102142,C234980,Female,22,Shoes,2,1200.34,Debit Card,24-12-2022,Istinye Park,,24-12-2022,
I102143,C163307,Female,64,Shoes,3,1800.51,Credit Card,19-01-2022,Kanyon,,19-01-2022,
I102144,C317414,Female,45,Souvenir,4,46.92,Cash,7/12/2021,Mall of Istanbul,,7/12/2021,
I102148,C127692,Female,60,Clothing,4,1200.32,Credit Card,15-01-2022,Metrocity,,15-01-2022,
I102149,C253677,Female,53,Clothing,4,1200.32,Debit Card,22-03-2022,Mall of Istanbul,,22-03-2022,
I102150,C336009,Male,48,Cosmetics,3,121.98,Debit Card,23-10-2022,Kanyon,,23-10-2022,
I102151,C460226,Female,64,Toys,2,71.68,Cash,29-11-2022,Kanyon,,29-11-2022,
I102157,C204532,Male,42,Shoes,1,600.17,Debit Card,28-09-2022,Mall of Istanbul,,28-09-2022,
I102159,C115523,Female,21,Food & Beverage,2,10.46,Cash,2/6/2022,Zorlu Center,,2/6/2022,
I102162,C274417,Female,64,Food & Beverage,3,15.69,Credit Card,12/2/2023,Metropol AVM,,12/2/2023,
I102166,C763155,Male,55,Books,1,15.15,Cash,6/8/2022,Kanyon,,6/8/2022,
I102167,C283282,Female,52,Toys,4,143.36,Credit Card,10/6/2021,Cevahir AVM,,10/6/2021,
I102171,C170678,Female,53,Food & Beverage,4,20.92,Debit Card,15-01-2022,Cevahir AVM,,15-01-2022,
I102173,C222171,Female,38,Clothing,3,900.24,Debit Card,22-03-2021,Emaar Square Mall,,22-03-2021,
I102175,C287261,Female,65,Clothing,2,600.16,Cash,2/9/2021,Metrocity,,2/9/2021,
I102178,C123925,Female,54,Toys,2,71.68,Debit Card,17-11-2021,Istinye Park,,17-11-2021,
I102182,C153009,Male,36,Souvenir,4,46.92,Credit Card,5/1/2021,Metropol AVM,,5/1/2021,
I102184,C868347,Female,22,Souvenir,5,58.65,Cash,21-04-2022,Istinye Park,,21-04-2022,
I102188,C306087,Female,24,Cosmetics,3,121.98,Credit Card,11/2/2023,Metrocity,,11/2/2023,
I102189,C135789,Male,59,Toys,1,35.84,Cash,14-09-2022,Mall of Istanbul,,14-09-2022,
I102191,C211798,Male,31,Shoes,4,2400.68,Cash,17-10-2022,Kanyon,,17-10-2022,
I102193,C327121,Female,38,Cosmetics,4,162.64,Credit Card,8/1/2022,Metropol AVM,,8/1/2022,
I102194,C328882,Female,63,Toys,4,143.36,Debit Card,27-10-2021,Mall of Istanbul,,27-10-2021,
I102195,C242866,Female,28,Clothing,1,300.08,Credit Card,21-02-2021,Kanyon,,21-02-2021,
I102199,C219898,Male,46,Food & Beverage,1,5.23,Credit Card,1/12/2021,Kanyon,,1/12/2021,
I102200,C242359,Female,19,Clothing,2,600.16,Credit Card,25-01-2021,Metropol AVM,,25-01-2021,
I102201,C140670,Female,21,Books,1,15.15,Debit Card,4/1/2023,Mall of Istanbul,,4/1/2023,
I102202,C174973,Female,60,Technology,4,4200,Credit Card,3/7/2022,Metropol AVM,,3/7/2022,
I102205,C688295,Male,23,Food & Beverage,2,10.46,Credit Card,10/7/2022,Kanyon,,10/7/2022,
I102218,C335848,Female,57,Cosmetics,1,40.66,Credit Card,23-08-2022,Metrocity,,23-08-2022,
I102221,C301581,Female,29,Clothing,4,1200.32,Cash,7/11/2022,Kanyon,,7/11/2022,
I102222,C171465,Female,65,Clothing,5,1500.4,Debit Card,27-09-2021,Kanyon,,27-09-2021,
I102223,C339595,Female,29,Clothing,3,900.24,Cash,31-01-2022,Mall of Istanbul,,31-01-2022,
I102224,C156712,Male,24,Cosmetics,3,121.98,Credit Card,28-01-2022,Emaar Square Mall,,28-01-2022,
I102225,C890104,Female,43,Food & Beverage,4,20.92,Credit Card,12/1/2022,Metrocity,,12/1/2022,
I102229,C194316,Male,58,Food & Beverage,4,20.92,Credit Card,1/4/2021,Kanyon,,1/4/2021,
I102232,C282538,Female,40,Toys,2,71.68,Credit Card,3/12/2022,Mall of Istanbul,,3/12/2022,
I102233,C284826,Female,47,Shoes,5,3000.85,Credit Card,25-04-2021,Forum Istanbul,,25-04-2021,
I102234,C237184,Male,48,Clothing,2,600.16,Cash,26-09-2021,Metropol AVM,,26-09-2021,
I102237,C106693,Female,64,Cosmetics,2,81.32,Credit Card,29-07-2022,Mall of Istanbul,,29-07-2022,
I102240,C281387,Male,29,Clothing,4,1200.32,Credit Card,22-06-2021,Kanyon,,22-06-2021,
I102241,C218554,Male,40,Cosmetics,3,121.98,Debit Card,16-09-2021,Metropol AVM,,16-09-2021,
I102244,C210214,Male,18,Clothing,5,1500.4,Credit Card,8/8/2022,Viaport Outlet,,8/8/2022,
I102250,C282314,Female,59,Technology,1,1050,Cash,24-03-2021,Mall of Istanbul,,24-03-2021,
I102254,C830416,Male,65,Shoes,1,600.17,Credit Card,5/2/2022,Kanyon,,5/2/2022,
I102256,C263791,Male,44,Books,3,45.45,Cash,8/12/2021,Zorlu Center,,8/12/2021,
I102258,C306120,Female,49,Clothing,1,300.08,Credit Card,31-07-2021,Cevahir AVM,,31-07-2021,
I102260,C203685,Male,36,Books,2,30.3,Cash,11/11/2021,Metropol AVM,,11/11/2021,
I102261,C817162,Female,23,Cosmetics,4,162.64,Cash,18-06-2022,Istinye Park,,18-06-2022,
I102264,C221936,Female,56,Clothing,2,600.16,Credit Card,22-01-2021,Istinye Park,,22-01-2021,
I102268,C298559,Female,47,Shoes,4,2400.68,Cash,31-01-2022,Zorlu Center,,31-01-2022,
I102276,C137086,Female,49,Cosmetics,2,81.32,Debit Card,30-03-2022,Istinye Park,,30-03-2022,
I102278,C190867,Male,24,Clothing,2,600.16,Cash,31-05-2022,Kanyon,,31-05-2022,
I102279,C192527,Male,64,Technology,3,3150,Cash,6/4/2022,Metrocity,,6/4/2022,
I102283,C889444,Male,36,Books,2,30.3,Credit Card,15-04-2022,Metrocity,,15-04-2022,
I102284,C378236,Female,63,Clothing,5,1500.4,Cash,23-08-2022,Metrocity,,23-08-2022,
I102286,C303985,Female,50,Souvenir,3,35.19,Cash,2/1/2022,Emaar Square Mall,,2/1/2022,
I102287,C844764,Male,38,Clothing,1,300.08,Cash,16-03-2022,Metropol AVM,,16-03-2022,
I102296,C161661,Male,62,Cosmetics,4,162.64,Cash,1/9/2022,Cevahir AVM,,1/9/2022,
I102300,C244793,Male,46,Toys,3,107.52,Cash,10/1/2021,Zorlu Center,,10/1/2021,
I102303,C165489,Male,30,Food & Beverage,4,20.92,Credit Card,13-07-2022,Mall of Istanbul,,13-07-2022,
I102304,C603018,Female,26,Souvenir,3,35.19,Cash,4/4/2021,Viaport Outlet,,4/4/2021,
I102306,C270038,Female,68,Toys,2,71.68,Cash,2/7/2021,Istinye Park,,2/7/2021,
I102311,C689496,Female,43,Shoes,2,1200.34,Debit Card,9/3/2022,Metropol AVM,,9/3/2022,
I102314,C244044,Female,21,Clothing,1,300.08,Credit Card,3/8/2021,Kanyon,,3/8/2021,
I102316,C102664,Female,63,Toys,2,71.68,Credit Card,26-09-2021,Emaar Square Mall,,26-09-2021,
I102320,C240298,Female,66,Cosmetics,5,203.3,Credit Card,5/3/2022,Metrocity,,5/3/2022,
I102323,C231102,Female,67,Clothing,5,1500.4,Credit Card,21-02-2023,Istinye Park,,21-02-2023,
I102324,C111343,Female,39,Cosmetics,4,162.64,Credit Card,21-04-2021,Metrocity,,21-04-2021,
I102330,C552450,Male,18,Clothing,4,1200.32,Cash,17-10-2022,Mall of Istanbul,,17-10-2022,
I102332,C116250,Female,68,Technology,5,5250,Cash,5/8/2022,Istinye Park,,5/8/2022,
I102340,C293553,Male,37,Clothing,4,1200.32,Debit Card,20-09-2021,Istinye Park,,20-09-2021,
I102344,C411285,Female,61,Shoes,3,1800.51,Cash,15-03-2022,Metrocity,,15-03-2022,
I102345,C329679,Male,28,Clothing,4,1200.32,Cash,29-01-2021,Kanyon,,29-01-2021,
I102347,C229953,Male,19,Clothing,4,1200.32,Credit Card,30-08-2022,Istinye Park,,30-08-2022,
I102348,C964439,Male,62,Clothing,2,600.16,Credit Card,3/3/2023,Emaar Square Mall,,3/3/2023,
I102355,C209984,Male,63,Souvenir,5,58.65,Cash,28-01-2022,Forum Istanbul,,28-01-2022,
I102361,C831180,Female,25,Clothing,2,600.16,Cash,28-04-2022,Metrocity,,28-04-2022,
I102365,C186468,Male,18,Clothing,1,300.08,Cash,20-11-2022,Metrocity,,20-11-2022,
I102371,C173386,Male,18,Clothing,1,300.08,Credit Card,5/9/2022,Istinye Park,,5/9/2022,
I102374,C533960,Female,49,Shoes,3,1800.51,Cash,23-11-2022,Mall of Istanbul,,23-11-2022,
I102375,C305450,Female,56,Souvenir,1,11.73,Cash,17-01-2022,Mall of Istanbul,,17-01-2022,
I102376,C271700,Female,47,Clothing,2,600.16,Cash,24-07-2021,Viaport Outlet,,24-07-2021,
I102377,C124677,Female,35,Clothing,3,900.24,Credit Card,7/9/2022,Zorlu Center,,7/9/2022,
I102389,C455912,Male,24,Cosmetics,3,121.98,Credit Card,12/6/2022,Mall of Istanbul,,12/6/2022,
I102395,C316538,Female,48,Cosmetics,4,162.64,Cash,12/1/2021,Metrocity,,12/1/2021,
I102396,C334331,Male,53,Shoes,4,2400.68,Cash,8/4/2022,Metrocity,,8/4/2022,
I102397,C246554,Male,56,Clothing,3,900.24,Credit Card,30-06-2021,Kanyon,,30-06-2021,
I102398,C766818,Male,24,Books,5,75.75,Cash,28-06-2021,Istinye Park,,28-06-2021,
I102403,C610622,Female,41,Clothing,3,900.24,Cash,27-11-2022,Kanyon,,27-11-2022,
I102404,C142061,Male,38,Clothing,4,1200.32,Credit Card,13-12-2021,Mall of Istanbul,,13-12-2021,
I102405,C296119,Male,23,Technology,4,4200,Credit Card,17-09-2022,Istinye Park,,17-09-2022,
I102408,C112153,Female,58,Clothing,5,1500.4,Credit Card,8/7/2022,Mall of Istanbul,,8/7/2022,
I102413,C408282,Male,39,Shoes,2,1200.34,Debit Card,25-01-2021,Kanyon,,25-01-2021,
I102415,C279084,Female,47,Shoes,5,3000.85,Cash,3/7/2021,Metrocity,,3/7/2021,
I102416,C318747,Male,45,Cosmetics,4,162.64,Credit Card,10/5/2021,Emaar Square Mall,,10/5/2021,
I102417,C381679,Female,44,Food & Beverage,4,20.92,Debit Card,16-06-2021,Metrocity,,16-06-2021,
I102427,C309294,Male,41,Souvenir,5,58.65,Debit Card,12/12/2022,Mall of Istanbul,,12/12/2022,
I102433,C215256,Female,20,Toys,2,71.68,Debit Card,19-01-2021,Mall of Istanbul,,19-01-2021,
I102437,C329779,Female,54,Clothing,2,600.16,Cash,17-11-2021,Kanyon,,17-11-2021,
I102440,C583660,Female,68,Clothing,3,900.24,Credit Card,18-12-2022,Viaport Outlet,,18-12-2022,
I102443,C998094,Female,53,Shoes,2,1200.34,Cash,25-09-2022,Metrocity,,25-09-2022,
I102444,C310499,Female,28,Toys,1,35.84,Debit Card,23-03-2021,Metrocity,,23-03-2021,
I102451,C127080,Female,18,Cosmetics,4,162.64,Credit Card,24-01-2021,Istinye Park,,24-01-2021,
I102453,C125666,Male,61,Clothing,5,1500.4,Debit Card,2/10/2022,Emaar Square Mall,,2/10/2022,
I102459,C379128,Female,55,Clothing,4,1200.32,Debit Card,25-07-2021,Forum Istanbul,,25-07-2021,
I102460,C944064,Female,58,Clothing,5,1500.4,Cash,30-07-2022,Mall of Istanbul,,30-07-2022,
I102468,C450900,Female,49,Clothing,3,900.24,Credit Card,1/1/2023,Kanyon,,1/1/2023,
I102470,C240359,Male,60,Shoes,5,3000.85,Credit Card,10/2/2022,Mall of Istanbul,,10/2/2022,
I102477,C137641,Male,33,Technology,5,5250,Debit Card,27-03-2022,Mall of Istanbul,,27-03-2022,
I102480,C264394,Male,28,Souvenir,2,23.46,Cash,24-02-2021,Metropol AVM,,24-02-2021,
I102481,C521673,Male,66,Shoes,4,2400.68,Credit Card,22-04-2022,Kanyon,,22-04-2022,
I102483,C179176,Female,34,Toys,5,179.2,Cash,5/4/2021,Metrocity,,5/4/2021,
I102486,C142171,Male,35,Clothing,5,1500.4,Cash,20-11-2022,Istinye Park,,20-11-2022,
I102487,C104393,Male,35,Clothing,1,300.08,Credit Card,3/2/2021,Kanyon,,3/2/2021,
I102488,C217895,Male,57,Cosmetics,5,203.3,Cash,21-05-2021,Istinye Park,,21-05-2021,
I102489,C180255,Male,56,Food & Beverage,2,10.46,Debit Card,25-11-2021,Kanyon,,25-11-2021,
I102490,C191187,Female,35,Souvenir,4,46.92,Credit Card,18-12-2022,Mall of Istanbul,,18-12-2022,
I102491,C534732,Female,41,Shoes,2,1200.34,Credit Card,15-09-2022,Metropol AVM,,15-09-2022,
I102494,C260867,Male,47,Clothing,4,1200.32,Debit Card,25-05-2022,Kanyon,,25-05-2022,
