invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,,invoice_date,
I102495,C179897,Male,48,Clothing,2,600.16,Cash,13-09-2021,Metrocity,,13-09-2021,
I102497,C299013,Male,63,Clothing,1,300.08,Credit Card,17-09-2022,Mall of Istanbul,,17-09-2022,
I102500,C973474,Female,28,Clothing,3,900.24,Credit Card,16-05-2022,Mall of Istanbul,,16-05-2022,
I102501,C634728,Male,54,Clothing,3,900.24,Credit Card,29-09-2021,Istinye Park,,29-09-2021,
I102502,C256344,Female,53,Food & Beverage,1,5.23,Debit Card,27-10-2021,Kanyon,,27-10-2021,
I102504,C287619,Female,34,Clothing,4,1200.32,Debit Card,17-10-2022,Metrocity,,17-10-2022,
I102509,C164347,Female,22,Technology,5,5250,Debit Card,6/11/2022,Viaport Outlet,,6/11/2022,
I102512,C199702,Male,61,Shoes,2,1200.34,Credit Card,9/10/2021,Forum Istanbul,,9/10/2021,
I102513,C317824,Male,61,Clothing,3,900.24,Credit Card,16-10-2022,Istinye Park,,16-10-2022,
I102514,C310453,Female,46,Food & Beverage,5,26.15,Debit Card,16-01-2021,Kanyon,,16-01-2021,
I102518,C904918,Female,46,Shoes,1,600.17,Credit Card,22-06-2021,Kanyon,,22-06-2021,
I102520,C531894,Female,33,Books,4,60.6,Credit Card,22-01-2021,Emaar Square Mall,,22-01-2021,
I102521,C314327,Female,23,Food & Beverage,2,10.46,Credit Card,15-08-2021,Emaar Square Mall,,15-08-2021,
I102525,C240268,Male,61,Cosmetics,1,40.66,Cash,16-01-2022,Kanyon,,16-01-2022,
I102526,C317197,Male,33,Cosmetics,3,121.98,Credit Card,1/3/2022,Cevahir AVM,,1/3/2022,
I102528,C279943,Male,45,Toys,3,107.52,Debit Card,23-06-2022,Viaport Outlet,,23-06-2022,
I102533,C363843,Female,25,Clothing,3,900.24,Cash,4/4/2021,Emaar Square Mall,,4/4/2021,
I102534,C522955,Female,46,Clothing,4,1200.32,Debit Card,30-11-2022,Metrocity,,30-11-2022,
I102535,C194716,Male,34,Shoes,1,600.17,Cash,20-02-2021,Metropol AVM,,20-02-2021,
I102541,C369611,Female,55,Cosmetics,3,121.98,Credit Card,27-02-2021,Metropol AVM,,27-02-2021,
I102542,C860947,Female,34,Clothing,2,600.16,Credit Card,12/4/2021,Mall of Istanbul,,12/4/2021,
I102543,C252688,Female,22,Souvenir,2,23.46,Credit Card,5/3/2021,Kanyon,,5/3/2021,
I102546,C307847,Female,30,Shoes,2,1200.34,Cash,6/10/2021,Metropol AVM,,6/10/2021,
I102547,C941147,Female,62,Clothing,2,600.16,Debit Card,20-06-2021,Zorlu Center,,20-06-2021,
I102553,C153282,Male,45,Toys,4,143.36,Cash,12/5/2022,Metrocity,,12/5/2022,
I102556,C315965,Male,26,Clothing,1,300.08,Cash,16-01-2023,Kanyon,,16-01-2023,
I102558,C153506,Female,30,Clothing,5,1500.4,Debit Card,14-09-2021,Metropol AVM,,14-09-2021,
I102559,C839296,Female,31,Books,4,60.6,Cash,23-02-2022,Mall of Istanbul,,23-02-2022,
I102561,C220525,Male,63,Clothing,3,900.24,Credit Card,27-10-2021,Metrocity,,27-10-2021,
I102562,C272836,Female,48,Toys,5,179.2,Cash,16-09-2022,Mall of Istanbul,,16-09-2022,
I102564,C152318,Female,49,Clothing,5,1500.4,Cash,13-06-2021,Metrocity,,13-06-2021,
I102567,C441192,Female,21,Clothing,1,300.08,Credit Card,6/3/2023,Kanyon,,6/3/2023,
I102569,C162413,Male,43,Cosmetics,4,162.64,Credit Card,24-11-2022,Zorlu Center,,24-11-2022,
I102573,C602990,Female,62,Shoes,2,1200.34,Cash,23-08-2022,Mall of Istanbul,,23-08-2022,
I102578,C207183,Female,36,Clothing,3,900.24,Cash,22-02-2021,Metrocity,,22-02-2021,
I102587,C255931,Female,32,Food & Beverage,2,10.46,Cash,2/1/2023,Kanyon,,2/1/2023,
I102589,C770363,Male,44,Clothing,3,900.24,Debit Card,27-10-2022,Cevahir AVM,,27-10-2022,
I102595,C256607,Female,48,Food & Beverage,2,10.46,Cash,9/8/2021,Metrocity,,9/8/2021,
I102600,C425591,Male,48,Clothing,1,300.08,Credit Card,13-05-2022,Mall of Istanbul,,13-05-2022,
I102604,C286659,Male,26,Shoes,3,1800.51,Cash,3/7/2021,Mall of Istanbul,,3/7/2021,
I102607,C905205,Female,65,Shoes,4,2400.68,Credit Card,28-03-2021,Metropol AVM,,28-03-2021,
I102610,C167297,Female,37,Food & Beverage,3,15.69,Credit Card,24-03-2022,Istinye Park,,24-03-2022,
I102612,C210929,Female,66,Clothing,2,600.16,Credit Card,29-09-2022,Mall of Istanbul,,29-09-2022,
I102613,C602495,Female,50,Shoes,1,600.17,Cash,26-05-2021,Istinye Park,,26-05-2021,
I102619,C279714,Female,23,Clothing,2,600.16,Credit Card,12/5/2022,Metrocity,,12/5/2022,
I102623,C191191,Male,58,Cosmetics,4,162.64,Credit Card,27-08-2022,Zorlu Center,,27-08-2022,
I102625,C305261,Male,26,Shoes,2,1200.34,Cash,28-05-2021,Zorlu Center,,28-05-2021,
I102628,C800190,Male,31,Clothing,1,300.08,Credit Card,1/12/2022,Cevahir AVM,,1/12/2022,
I102629,C103453,Male,46,Clothing,5,1500.4,Credit Card,28-03-2021,Mall of Istanbul,,28-03-2021,
I102632,C247827,Male,55,Clothing,1,300.08,Credit Card,2/3/2023,Kanyon,,2/3/2023,
I102634,C205293,Male,20,Clothing,3,900.24,Credit Card,18-02-2023,Forum Istanbul,,18-02-2023,
I102635,C162707,Female,50,Clothing,4,1200.32,Cash,13-01-2021,Emaar Square Mall,,13-01-2021,
I102636,C988123,Male,67,Cosmetics,3,121.98,Cash,2/1/2021,Kanyon,,2/1/2021,
I102641,C148509,Male,52,Cosmetics,4,162.64,Credit Card,23-06-2022,Mall of Istanbul,,23-06-2022,
I102642,C626080,Male,43,Shoes,2,1200.34,Credit Card,1/2/2023,Viaport Outlet,,1/2/2023,
I102645,C156538,Male,46,Books,1,15.15,Credit Card,14-10-2021,Kanyon,,14-10-2021,
I102647,C208778,Female,35,Cosmetics,5,203.3,Cash,21-11-2021,Zorlu Center,,21-11-2021,
I102652,C134226,Female,67,Clothing,1,300.08,Cash,15-08-2021,Metropol AVM,,15-08-2021,
I102653,C144135,Female,33,Clothing,1,300.08,Cash,20-10-2021,Kanyon,,20-10-2021,
I102656,C317978,Male,43,Books,5,75.75,Credit Card,20-07-2021,Metrocity,,20-07-2021,
I102666,C114925,Male,66,Shoes,5,3000.85,Cash,3/1/2022,Mall of Istanbul,,3/1/2022,
I102669,C172671,Male,40,Clothing,1,300.08,Credit Card,12/11/2021,Kanyon,,12/11/2021,
I102675,C936544,Female,45,Food & Beverage,2,10.46,Cash,27-12-2021,Istinye Park,,27-12-2021,
I102677,C149751,Male,20,Shoes,3,1800.51,Credit Card,5/4/2022,Emaar Square Mall,,5/4/2022,
I102681,C298900,Female,19,Clothing,1,300.08,Credit Card,24-09-2022,Metrocity,,24-09-2022,
I102686,C128656,Female,41,Clothing,3,900.24,Credit Card,27-11-2022,Kanyon,,27-11-2022,
I102690,C177682,Male,59,Cosmetics,3,121.98,Debit Card,7/11/2022,Mall of Istanbul,,7/11/2022,
I102691,C253781,Female,35,Souvenir,3,35.19,Credit Card,6/10/2021,Metropol AVM,,6/10/2021,
I102692,C340001,Female,65,Food & Beverage,2,10.46,Cash,25-04-2021,Mall of Istanbul,,25-04-2021,
I102694,C782676,Female,65,Shoes,5,3000.85,Cash,19-07-2021,Mall of Istanbul,,19-07-2021,
I102697,C232551,Male,54,Clothing,2,600.16,Debit Card,8/6/2022,Metrocity,,8/6/2022,
I102700,C378568,Female,57,Clothing,4,1200.32,Cash,25-01-2021,Mall of Istanbul,,25-01-2021,
I102703,C110600,Female,40,Technology,5,5250,Credit Card,11/10/2022,Mall of Istanbul,,11/10/2022,
I102713,C259637,Female,27,Shoes,1,600.17,Cash,26-05-2022,Metrocity,,26-05-2022,
I102714,C182058,Female,63,Clothing,3,900.24,Debit Card,4/3/2021,Mall of Istanbul,,4/3/2021,
I102715,C837237,Male,41,Clothing,3,900.24,Debit Card,20-10-2022,Istinye Park,,20-10-2022,
I102716,C231411,Female,27,Toys,3,107.52,Credit Card,15-11-2022,Metrocity,,15-11-2022,
I102719,C480086,Female,45,Technology,1,1050,Cash,24-04-2021,Mall of Istanbul,,24-04-2021,
I102721,C102359,Male,57,Toys,3,107.52,Credit Card,9/7/2022,Metrocity,,9/7/2022,
I102725,C385326,Female,54,Toys,5,179.2,Cash,16-09-2022,Metrocity,,16-09-2022,
I102726,C444281,Female,66,Clothing,2,600.16,Credit Card,8/1/2023,Cevahir AVM,,8/1/2023,
I102729,C216936,Female,44,Clothing,1,300.08,Credit Card,3/1/2021,Metrocity,,3/1/2021,
I102730,C181990,Male,57,Technology,4,4200,Cash,11/7/2022,Mall of Istanbul,,11/7/2022,
I102732,C719232,Male,50,Clothing,5,1500.4,Cash,24-09-2021,Zorlu Center,,24-09-2021,
I102734,C134006,Female,48,Clothing,5,1500.4,Debit Card,8/6/2021,Metrocity,,8/6/2021,
I102735,C662013,Female,55,Shoes,4,2400.68,Debit Card,22-02-2023,Zorlu Center,,22-02-2023,
I102737,C112982,Female,68,Technology,3,3150,Cash,9/8/2022,Mall of Istanbul,,9/8/2022,
I102751,C224224,Female,67,Technology,2,2100,Credit Card,28-09-2022,Metrocity,,28-09-2022,
I102754,C760072,Female,58,Shoes,2,1200.34,Cash,13-09-2021,Emaar Square Mall,,13-09-2021,
I102758,C778349,Female,35,Food & Beverage,1,5.23,Cash,1/12/2022,Metropol AVM,,1/12/2022,
I102759,C174415,Female,28,Clothing,2,600.16,Credit Card,26-03-2022,Mall of Istanbul,,26-03-2022,
I102760,C158547,Female,64,Food & Beverage,1,5.23,Credit Card,2/9/2021,Viaport Outlet,,2/9/2021,
I102761,C333330,Female,23,Cosmetics,1,40.66,Cash,19-03-2021,Mall of Istanbul,,19-03-2021,
I102764,C102832,Female,41,Clothing,3,900.24,Credit Card,19-08-2022,Metropol AVM,,19-08-2022,
I102766,C200431,Male,40,Books,2,30.3,Debit Card,7/1/2021,Emaar Square Mall,,7/1/2021,
I102767,C203666,Female,20,Cosmetics,5,203.3,Credit Card,7/1/2022,Viaport Outlet,,7/1/2022,
I102773,C287506,Female,35,Cosmetics,1,40.66,Credit Card,5/1/2023,Kanyon,,5/1/2023,
I102776,C214209,Female,22,Clothing,4,1200.32,Cash,6/11/2021,Metrocity,,6/11/2021,
I102782,C105352,Female,51,Souvenir,5,58.65,Cash,1/11/2021,Mall of Istanbul,,1/11/2021,
I102783,C816576,Female,56,Food & Beverage,1,5.23,Cash,5/2/2023,Istinye Park,,5/2/2023,
I102786,C969271,Female,35,Clothing,2,600.16,Cash,29-06-2022,Emaar Square Mall,,29-06-2022,
I102790,C193288,Female,21,Clothing,5,1500.4,Debit Card,20-07-2022,Cevahir AVM,,20-07-2022,
I102792,C766287,Male,35,Souvenir,1,11.73,Credit Card,17-07-2022,Kanyon,,17-07-2022,
I102797,C129206,Male,52,Cosmetics,2,81.32,Credit Card,12/1/2023,Mall of Istanbul,,12/1/2023,
I102799,C704920,Male,33,Shoes,5,3000.85,Debit Card,20-04-2021,Viaport Outlet,,20-04-2021,
I102800,C211156,Female,40,Shoes,1,600.17,Credit Card,2/1/2022,Viaport Outlet,,2/1/2022,
I102801,C288748,Female,69,Clothing,1,300.08,Credit Card,1/5/2022,Metrocity,,1/5/2022,
I102802,C107887,Female,22,Souvenir,3,35.19,Debit Card,24-07-2021,Zorlu Center,,24-07-2021,
I102818,C156505,Male,57,Toys,1,35.84,Credit Card,12/1/2021,Emaar Square Mall,,12/1/2021,
I102819,C309720,Male,53,Food & Beverage,2,10.46,Cash,26-10-2022,Zorlu Center,,26-10-2022,
I102824,C194938,Male,27,Clothing,5,1500.4,Debit Card,12/11/2022,Istinye Park,,12/11/2022,
I102825,C150885,Female,65,Clothing,4,1200.32,Cash,1/9/2022,Metrocity,,1/9/2022,
I102832,C146777,Female,40,Shoes,2,1200.34,Cash,20-06-2022,Istinye Park,,20-06-2022,
I102836,C279148,Male,64,Books,3,45.45,Debit Card,7/3/2022,Mall of Istanbul,,7/3/2022,
I102837,C320088,Female,21,Clothing,3,900.24,Cash,27-11-2021,Kanyon,,27-11-2021,
I102840,C161257,Female,39,Toys,4,143.36,Debit Card,27-05-2021,Metropol AVM,,27-05-2021,
I102843,C235737,Female,48,Food & Beverage,5,26.15,Cash,1/11/2021,Metrocity,,1/11/2021,
I102845,C175442,Female,41,Souvenir,4,46.92,Cash,5/3/2023,Metrocity,,5/3/2023,
I102847,C123536,Male,51,Souvenir,3,35.19,Debit Card,9/3/2022,Kanyon,,9/3/2022,
I102848,C252901,Female,59,Shoes,1,600.17,Debit Card,13-01-2021,Kanyon,,13-01-2021,
I102849,C251633,Female,69,Clothing,4,1200.32,Credit Card,4/3/2021,Mall of Istanbul,,4/3/2021,
I102855,C159521,Female,19,Clothing,2,600.16,Cash,15-10-2022,Istinye Park,,15-10-2022,
I102873,C994454,Female,25,Toys,4,143.36,Credit Card,24-08-2022,Mall of Istanbul,,24-08-2022,
I102876,C283599,Female,18,Cosmetics,3,121.98,Credit Card,27-02-2023,Mall of Istanbul,,27-02-2023,
I102877,C505213,Female,29,Toys,4,143.36,Cash,25-11-2022,Metropol AVM,,25-11-2022,
I102879,C380202,Female,26,Food & Beverage,4,20.92,Debit Card,3/9/2022,Cevahir AVM,,3/9/2022,
I102881,C482255,Female,50,Clothing,2,600.16,Cash,21-09-2021,Mall of Istanbul,,21-09-2021,
I102883,C114509,Female,22,Food & Beverage,5,26.15,Cash,8/10/2021,Kanyon,,8/10/2021,
I102884,C121907,Female,45,Toys,5,179.2,Credit Card,22-03-2021,Metrocity,,22-03-2021,
I102885,C216254,Male,42,Food & Beverage,5,26.15,Cash,22-08-2022,Kanyon,,22-08-2022,
I102886,C896170,Female,60,Clothing,1,300.08,Credit Card,7/7/2022,Forum Istanbul,,7/7/2022,
I102893,C264654,Male,66,Cosmetics,5,203.3,Credit Card,3/8/2022,Kanyon,,3/8/2022,
I102902,C603291,Male,58,Toys,1,35.84,Cash,28-11-2022,Viaport Outlet,,28-11-2022,
I102905,C318145,Female,42,Food & Beverage,5,26.15,Credit Card,7/11/2021,Kanyon,,7/11/2021,
I102906,C219499,Female,20,Toys,3,107.52,Cash,16-10-2021,Kanyon,,16-10-2021,
I102917,C262929,Male,59,Clothing,3,900.24,Debit Card,2/4/2021,Metrocity,,2/4/2021,
I102923,C148421,Male,63,Toys,4,143.36,Debit Card,21-09-2022,Metropol AVM,,21-09-2022,
I102925,C217020,Female,27,Cosmetics,5,203.3,Credit Card,13-01-2023,Metrocity,,13-01-2023,
I102926,C319883,Female,60,Food & Beverage,1,5.23,Cash,6/8/2022,Cevahir AVM,,6/8/2022,
I102928,C211300,Male,60,Cosmetics,1,40.66,Credit Card,4/3/2021,Mall of Istanbul,,4/3/2021,
I102931,C318182,Male,26,Shoes,5,3000.85,Debit Card,18-05-2022,Mall of Istanbul,,18-05-2022,
I102935,C184509,Female,59,Cosmetics,1,40.66,Cash,16-06-2021,Mall of Istanbul,,16-06-2021,
I102939,C100110,Female,28,Clothing,5,1500.4,Credit Card,1/5/2022,Metrocity,,1/5/2022,
I102941,C189039,Female,45,Cosmetics,2,81.32,Cash,14-05-2022,Metrocity,,14-05-2022,
I102944,C105025,Male,33,Cosmetics,2,81.32,Cash,3/12/2021,Forum Istanbul,,3/12/2021,
I102945,C287896,Female,34,Clothing,1,300.08,Cash,25-06-2022,Metrocity,,25-06-2022,
I102946,C182144,Female,62,Clothing,3,900.24,Cash,30-11-2022,Viaport Outlet,,30-11-2022,
I102954,C155342,Male,30,Food & Beverage,4,20.92,Cash,6/2/2021,Mall of Istanbul,,6/2/2021,
I102958,C332958,Female,54,Clothing,3,900.24,Credit Card,2/11/2022,Istinye Park,,2/11/2022,
I102960,C131004,Female,34,Technology,3,3150,Credit Card,25-01-2021,Mall of Istanbul,,25-01-2021,
I102964,C321846,Female,69,Shoes,2,1200.34,Cash,23-04-2021,Viaport Outlet,,23-04-2021,
I102969,C166525,Female,62,Cosmetics,2,81.32,Debit Card,17-04-2021,Mall of Istanbul,,17-04-2021,
I102977,C316330,Female,30,Souvenir,4,46.92,Credit Card,30-10-2022,Metropol AVM,,30-10-2022,
I102979,C628682,Female,35,Souvenir,3,35.19,Credit Card,23-01-2022,Mall of Istanbul,,23-01-2022,
I102985,C191792,Male,42,Souvenir,2,23.46,Debit Card,1/6/2021,Mall of Istanbul,,1/6/2021,
I102989,C273531,Female,67,Shoes,2,1200.34,Cash,1/3/2021,Cevahir AVM,,1/3/2021,
I102990,C296573,Male,22,Shoes,5,3000.85,Credit Card,20-07-2022,Kanyon,,20-07-2022,
I102991,C397967,Female,28,Books,3,45.45,Credit Card,12/10/2021,Metrocity,,12/10/2021,
I102993,C142692,Female,67,Clothing,2,600.16,Credit Card,21-11-2022,Forum Istanbul,,21-11-2022,
I102994,C262644,Female,69,Shoes,3,1800.51,Debit Card,11/1/2022,Mall of Istanbul,,11/1/2022,
I102999,C295992,Male,34,Toys,3,107.52,Credit Card,17-08-2021,Metrocity,,17-08-2021,
I103002,C245635,Female,62,Food & Beverage,2,10.46,Credit Card,3/7/2021,Viaport Outlet,,3/7/2021,
I103004,C560575,Male,33,Food & Beverage,1,5.23,Cash,4/2/2022,Metropol AVM,,4/2/2022,
I103006,C258085,Male,41,Technology,4,4200,Cash,20-07-2022,Cevahir AVM,,20-07-2022,
I103010,C260917,Female,51,Shoes,1,600.17,Cash,2/8/2021,Metrocity,,2/8/2021,
I103014,C185481,Female,57,Clothing,4,1200.32,Debit Card,3/7/2022,Istinye Park,,3/7/2022,
I103016,C633152,Female,60,Clothing,4,1200.32,Credit Card,12/7/2021,Forum Istanbul,,12/7/2021,
I103019,C335724,Male,60,Shoes,2,1200.34,Cash,14-10-2022,Forum Istanbul,,14-10-2022,
I103020,C327792,Female,27,Books,4,60.6,Cash,17-06-2021,Mall of Istanbul,,17-06-2021,
I103021,C325728,Male,36,Books,1,15.15,Debit Card,25-02-2023,Mall of Istanbul,,25-02-2023,
I103026,C142823,Female,64,Shoes,1,600.17,Cash,21-10-2021,Viaport Outlet,,21-10-2021,
I103028,C243168,Female,22,Toys,4,143.36,Credit Card,24-08-2021,Zorlu Center,,24-08-2021,
I103029,C213516,Female,18,Toys,5,179.2,Cash,21-06-2021,Mall of Istanbul,,21-06-2021,
I103031,C228178,Female,55,Toys,5,179.2,Cash,17-09-2021,Kanyon,,17-09-2021,
I103032,C317778,Male,65,Clothing,2,600.16,Debit Card,6/9/2022,Kanyon,,6/9/2022,
I103033,C960822,Female,38,Technology,2,2100,Debit Card,14-09-2021,Zorlu Center,,14-09-2021,
I103035,C155712,Male,21,Clothing,5,1500.4,Debit Card,29-08-2021,Metrocity,,29-08-2021,
I103036,C992589,Female,39,Cosmetics,2,81.32,Cash,18-08-2022,Istinye Park,,18-08-2022,
I103044,C367741,Female,48,Clothing,5,1500.4,Cash,13-06-2021,Viaport Outlet,,13-06-2021,
I103045,C267316,Female,62,Shoes,1,600.17,Cash,24-08-2022,Metrocity,,24-08-2022,
I103046,C208145,Female,33,Food & Beverage,1,5.23,Credit Card,26-01-2021,Emaar Square Mall,,26-01-2021,
I103055,C315737,Male,44,Cosmetics,4,162.64,Credit Card,17-07-2022,Metrocity,,17-07-2022,
I103056,C258161,Male,34,Food & Beverage,4,20.92,Credit Card,18-05-2022,Mall of Istanbul,,18-05-2022,
I103059,C264391,Female,67,Cosmetics,1,40.66,Debit Card,20-06-2022,Metrocity,,20-06-2022,
I103061,C603549,Female,41,Clothing,2,600.16,Cash,17-01-2021,Mall of Istanbul,,17-01-2021,
I103062,C232094,Female,53,Food & Beverage,5,26.15,Credit Card,11/2/2023,Kanyon,,11/2/2023,
I103064,C274479,Female,36,Toys,2,71.68,Cash,4/3/2023,Metrocity,,4/3/2023,
I103065,C205710,Male,31,Books,2,30.3,Credit Card,14-03-2021,Mall of Istanbul,,14-03-2021,
I103066,C340003,Male,66,Clothing,1,300.08,Cash,11/8/2021,Mall of Istanbul,,11/8/2021,
I103067,C210847,Male,22,Toys,3,107.52,Debit Card,25-11-2021,Kanyon,,25-11-2021,
I103068,C115494,Male,69,Clothing,2,600.16,Debit Card,21-03-2021,Kanyon,,21-03-2021,
I103070,C754112,Male,19,Cosmetics,2,81.32,Cash,31-12-2021,Kanyon,,31-12-2021,
I103071,C243412,Male,26,Food & Beverage,5,26.15,Cash,9/12/2022,Mall of Istanbul,,9/12/2022,
I103072,C170969,Male,20,Cosmetics,4,162.64,Cash,4/4/2022,Forum Istanbul,,4/4/2022,
I103076,C288406,Female,24,Clothing,4,1200.32,Debit Card,10/9/2021,Viaport Outlet,,10/9/2021,
I103081,C119424,Female,68,Food & Beverage,2,10.46,Cash,27-07-2022,Mall of Istanbul,,27-07-2022,
I103082,C286580,Female,33,Books,3,45.45,Credit Card,12/10/2022,Metrocity,,12/10/2022,
I103083,C936888,Female,48,Cosmetics,4,162.64,Cash,15-02-2022,Istinye Park,,15-02-2022,
I103085,C252697,Female,27,Clothing,2,600.16,Credit Card,27-08-2022,Kanyon,,27-08-2022,
I103086,C285452,Female,52,Cosmetics,4,162.64,Cash,17-08-2022,Metrocity,,17-08-2022,
